0554,KAV492M,14,250
0082,KBB090W,14,250
0094,KAW133C,14,250
0003,KBG645F,14,250
0003,KBH284M,14,250
0003,KBH418Y,14,250
0003,KBH526D,14,250
0003,KBJ351Z,14,250
0003,KBJ472H,14,250
0003,KBL564C,14,250
0038,KBL199B,14,250
0190,KAL969M,14,250
0118,KBJ941A,14,250
0062,KBE643E,14,250
0009,KBA684Q,14,250
0171,KBB852P,14,250
0171,KBH867J,14,250
0264,KAU020H,14,250
0264,KAX019B,14,250
0264,KAX366R,14,250
0264,KBA964Z,14,250
0264,KBC619L,14,250
0264,KBD421G,14,250
0041,KBK960S,14,250
0691,KAW052J,14,250
0091,KAY694Y,14,250
0025,KBG440E,14,250
0026,KAR917W,14,250
0195,KBK431K,14,250
0935,KBB756K,14,250
0664,KAV631N,14,250
0057,KBJ198E,14,250
0050,KBE282B,14,250
0125,KBH277Y,14,250
0262,KAS450P,14,250
0254,KBA771F,14,250
0413,KAX889D,14,250
0559,KBL426B,14,250
0010,KBE391H,14,250
0452,KAR138S,14,250
0188,KBG374E,14,250
0373,KBH534V,14,250
0092,KAJ514F,22,300
0163,KBD883G,29,300
0015,KAU585S,29,300
0539,KAY249A,29,300
0023,KCC291G,33,300
0903,KBS440K,33,300
0903,KCD343J,33,300
0933,KBV419S,33,300
0081,KBY566F,33,300
0081,KCA791M,33,300
0081,KCG286F,33,300
0434,KBQ275Z,33,300
0111,KBM185H,33,300
0111,KBV638Z,33,300
0520,KCC128L,33,300
0520,KCH104K,33,300
0002,KCF272L,33,300
0003,KCA863N,33,300
0003,KCB087G,33,300
0003,KCB229J,33,300
0003,KCB645E,33,300
0003,KCB686M,33,300
0003,KCB947W,33,300
0003,KCD209J,33,300
0003,KCD608E,33,300
0003,KCD616E,33,300
0003,KCD931E,33,300
0003,KCF815G,33,300
0004,KCC250V,33,300
0004,KCG119E,33,300
0190,KCA013A,33,300
0014,KBH676Q,33,300
0014,KBX269C,33,300
0014,KBX869R,33,300
0014,KBZ922G,33,300
0063,KBB765G,33,300
0062,KCA508Z,33,300
0007,KBW837Y,33,300
0007,KBX757Q,33,300
0007,KCC997E,33,300
0242,KBQ434U,33,300
0008,KBB902T,33,300
0008,KBZ198J,33,300
1002,KBW270A,33,300
0109,KBU556R,33,300
0109,KBW100Z,33,300
0264,KBR556P,33,300
0264,KBY193A,33,300
0067,KBS114K,33,300
0705,KBZ809N,33,300
0162,KBZ349B,33,300
0919,KCA364Y,33,300
0693,KBY090M,33,300
0023,KCC001A,33,300
0023,KCF260S,33,300
1023,KBP535V,33,300
0095,KBR066B,33,300
0095,KBT613Q,33,300
0182,KBQ471C,33,300
0025,KCG179E,33,300
0030,KBR983K,33,300
0030,KBV650M,33,300
0098,KCE675Y,33,300
0032,KAS634M,33,300
0039,KCA246R,33,300
0615,KBP965Q,33,300
0611,KBW291M,33,300
0528,KBT329V,33,300
0698,KBZ587L,33,300
0698,KCB095P,33,300
0580,KBN799A,33,300
0193,KAS368Q,33,300
0053,KAY242X,33,300
0053,KBS190T,33,300
0053,KBW180E,33,300
0053,KBW817Y,33,300
0452,KBR396B,33,300
0452,KCB092P,33,300
0766,KBT780H,33,300
0058,KBU829N,33,300
0058,KBW245M,33,300
0008,KBN452N,37,300
0264,KBQ733C,37,300
0015,KBP634A,37,300
0937,KCD172A,37,300
0942,KBX563N,37,300
0242,KBU770S,33,300
