000528,0277,Emergency,06/14/2016,06/01/2016,05/10/2016,6,1.00,Yes,Approved,"12,150.00"
000655,0608,Emergency,11/01/2017,12/01/2017,11/01/2017,6,1.00,Yes,Approved,500.00
000659,0548,Emergency,11/01/2017,12/01/2017,11/01/2017,6,1.00,Yes,Approved,684.00
000661,0051,Emergency,12/09/2017,01/01/2018,12/09/2017,6,1.00,Yes,Approved,"48,636.00"
000663,0119,Emergency,12/11/2017,01/01/2018,12/11/2017,6,1.00,Yes,Approved,"91,946.00"
000701,0174,Emergency,06/18/2018,07/01/2018,06/18/2018,6,1.00,Yes,Approved,"47,614.00"
000726,0559,Emergency,09/18/2018,10/01/2018,09/18/2018,6,1.00,Yes,Approved,256.00
000747,0094,Emergency,03/09/2019,04/01/2019,03/09/2019,6,1.00,Yes,Approved,"60,994.00"
000753,0539,Emergency,05/15/2019,06/01/2019,05/15/2019,6,1.00,Yes,Approved,"4,693.00"
000755,0705,Emergency,05/15/2019,06/01/2019,05/15/2019,6,1.00,Yes,Approved,"24,928.00"
000762,0050,Emergency,07/17/2019,08/01/2019,07/17/2019,6,1.00,Yes,Approved,"86,072.00"
000766,0004,Emergency,09/02/2019,10/01/2019,09/02/2019,6,1.00,Yes,Approved,"31,795.00"
000771,0014,Emergency,10/04/2019,11/01/2019,10/04/2019,6,1.00,Yes,Approved,"50,500.00"
000773,0008,Emergency,11/03/2019,12/01/2019,11/03/2019,6,1.00,Yes,Approved,"80,887.00"
000775,0262,Emergency,11/03/2019,12/01/2019,11/03/2019,6,1.00,Yes,Approved,"101,000.00"
000777,0125,Emergency,11/03/2019,12/01/2019,11/03/2019,6,1.00,Yes,Approved,"101,000.00"
000778,0092,Emergency,12/06/2019,01/01/2020,12/06/2019,6,1.00,Yes,Approved,"100,000.00"
000780,0693,Emergency,12/06/2019,01/01/2020,12/06/2019,6,1.00,Yes,Approved,"91,877.00"
000785,0095,Emergency,12/11/2019,01/01/2020,12/11/2019,6,1.00,Yes,Approved,"96,051.00"
000786,0242,Emergency,12/13/2019,01/01/2020,12/13/2019,6,1.00,Yes,Approved,"96,761.00"
000456,0091,Normal,10/12/2015,11/01/2015,10/05/2015,24,1.00,Yes,Approved,"33,416.00"
000511,0360,Normal,03/22/2016,04/01/2016,03/20/2016,24,1.00,Yes,Approved,"37,522.00"
000530,0083,Normal,06/14/2016,06/01/2016,05/25/2016,24,1.00,Yes,Approved,"218,304.00"
000558,0025,Normal,09/01/2016,10/01/2016,09/01/2016,36,1.00,Yes,Approved,"1,858,813.00"
000566,0063,Normal,09/13/2016,10/01/2016,09/13/2016,24,1.00,Yes,Approved,"318,679.00"
000576,0051,Normal,10/15/2016,11/01/2016,10/15/2016,24,1.00,Yes,Approved,"432,261.00"
000577,0057,Normal,10/15/2016,11/01/2016,10/15/2016,24,1.00,Yes,Approved,"129,911.00"
000591,0030,Normal,11/30/2016,12/01/2016,11/30/2016,36,1.00,Yes,Approved,"60,403.00"
000613,0272,Normal,01/23/2017,02/01/2017,01/23/2017,12,1.00,Yes,Approved,"103,937.00"
000617,0114,Normal,02/24/2017,03/01/2017,02/24/2017,24,1.00,Yes,Approved,"358,453.00"
000618,0291,Normal,03/17/2017,04/01/2017,03/17/2017,24,1.00,Yes,Approved,"30,833.00"
000619,0633,Normal,03/17/2017,04/01/2017,03/17/2017,24,1.00,Yes,Approved,47.00
000630,0119,Normal,05/30/2017,06/01/2017,05/30/2017,24,1.00,Yes,Approved,"216,237.00"
000654,0062,Normal,11/01/2017,12/01/2017,11/01/2017,36,1.00,Yes,Approved,"573,519.00"
000670,0094,Normal,12/14/2017,01/01/2018,12/14/2017,24,1.00,Yes,Approved,"127,889.00"
000671,0242,Normal,12/14/2017,12/14/2017,12/14/2017,24,1.00,Yes,Approved,"112,376.00"
000683,0171,Normal,03/27/2018,04/01/2018,03/27/2018,24,1.00,Yes,Approved,"263,610.00"
000688,0262,Normal,03/27/2018,04/01/2018,03/27/2018,24,1.00,Yes,Approved,"144,877.00"
